n,d,anomaly,rhf_ap,reg_ap,ID,Datasets
1920,7,29,0.4061295835688861,0.44402592437558264,0,abalone
1920,7,29,0.3308904798949318,0.3664249144874145,1,abalone
1920,7,29,0.32238837251518127,0.3358068514867292,2,abalone
1920,7,29,0.3392378830983155,0.34086593630711826,3,abalone
1920,7,29,0.3757498436293954,0.3777148104401979,4,abalone
1920,7,29,0.4206758704848036,0.4186814136127006,5,abalone
1920,7,29,0.34807693743783125,0.34936632852550986,6,abalone
1920,7,29,0.3100197694296643,0.36064416674521116,7,abalone
1920,7,29,0.3648654182395364,0.3442587474659843,8,abalone
1920,7,29,0.33586254077619443,0.353748261770886,9,abalone
1033,3,25,0.2831698097482123,0.2924279721569169,0,kdd_finger
1033,3,25,0.2911065597507206,0.14810691620952995,1,kdd_finger
1033,3,25,0.274117031895745,0.16699580509841885,2,kdd_finger
1033,3,25,0.2858176949875379,0.15318628128889503,3,kdd_finger
1033,3,25,0.2736222098896606,0.33873599446493924,4,kdd_finger
1033,3,25,0.2597926160446312,0.15318628128889503,5,kdd_finger
1033,3,25,0.24588562108068604,0.16032913843175217,6,kdd_finger
1033,3,25,0.23270313696103195,0.20749588262656996,7,kdd_finger
1033,3,25,0.25910698778622054,0.15032913843175216,8,kdd_finger
1033,3,25,0.2245503183332146,0.14432913843175219,9,kdd_finger
