,wine,musk,smtp_all,kdd_smtp,aloi,arrhytmia,mammography,penglobal,satimages,kdd_ftp_distinct,mnist,wbc,cardio,pima_odds,breastcancer,magicgamma,abalone,kdd_finger,wikiqoe,yeast,kdd_ftp,satellite,vowels_odds,vertebral,spambase,thyroid,shuttle_odds,kdd_other,annthyroid,ionosphere,mean,var
n,4898.0,3062.0,96554.0,96554.0,50000.0,452.0,11183.0,809.0,5803.0,2876.0,7603.0,378.0,1831.0,768.0,683.0,19020.0,1920.0,1033.0,55932.0,1191.0,5214.0,5100.0,1456.0,240.0,4601.0,3772.0,49097.0,12844.0,7200.0,351.0,15080.833333333334,693351011.4055558
anomaly,25.0,97.0,1183.0,1183.0,1508.0,66.0,260.0,90.0,71.0,282.0,700.0,21.0,176.0,268.0,239.0,6688.0,29.0,25.0,4494.0,55.0,1393.0,75.0,50.0,30.0,1813.0,93.0,3511.0,478.0,534.0,126.0,852.1,2238247.556666666
rhf_ap,0.0604941659267445,0.9974112420464742,0.9500692123639043,0.3246438854907976,0.03570062057156311,0.4235011547335362,0.13671373645138707,0.565267168847587,0.9187242586000561,0.40937981618821817,0.3421899099462738,0.5467849939461878,0.5886704088039771,0.49209024407007024,0.9533529471499765,0.6245152414039975,0.34777265470947094,0.2583181163465586,0.1202731534248795,0.21504759198274442,0.9154961924615543,0.6362240153445946,0.17220308114534924,0.09629825018751062,0.41007964968766597,0.5450911337189177,0.9316060602747622,0.5540436828281307,0.29795651575499804,0.8105381250598042,0.48934857431558976,0.08576399518083525
good_trees,39.3,1.6,0.0,23.8,12.0,0.5,240.3,6.5,0.0,122.9,33.2,14.6,2.7,49.7,0.2,3.6,86.0,146.6,3.3,76.9,46.7,0.0,43.1,992.5,361.1,47.4,32.2,230.6,127.6,2.0,91.56333333333332,35149.48965555557
best_tree,0.11935109223913246,1.0,0.9028574606182896,0.24884072749477076,0.039506933426265586,0.39112108251113875,0.33058477995221386,0.6297712393006059,0.772169275110403,0.9069766919742157,0.47974092468530954,0.6900590112030072,0.6514626246643015,0.575154759555982,0.9443496965912572,0.6436371844563651,0.5365609870559234,0.6267855615986618,0.11801026972643061,0.3097602396740536,0.975135522021428,0.5525955141341328,0.2868137727286745,0.3133334828993685,0.6500496964342075,0.6944448200175993,0.957322370735494,0.9440524561106969,0.7271537336519692,0.8276232833444805,0.5948408397972127,0.07588998240963557
kendall,0.016842961487780247,0.38854971482812795,0.4351931794166249,0.5983012784487517,0.03244296152307423,0.26879960145325255,0.08865927826906626,0.40661578264996256,0.3246954573114701,0.3876608962405888,0.24410935864649322,0.24724909688743685,0.44097578960790873,0.4553740158374803,0.887327270965144,0.5153804545555964,0.19155064055726229,0.14466775553488828,0.09930504504156593,0.15070885762606878,0.8645109219847111,0.18969203521614392,0.07423386807215099,0.11661605159844916,0.4338518360945895,0.27146547426431705,0.5631332215328009,0.459970176265028,0.25309551292344123,0.6747286618096927,0.34085690522166234,0.049780970639523164
weighted_kendall,0.016708458399751883,0.6740880278922463,0.5734535520546311,0.253987679901785,0.031146749508924976,0.27333535174274276,0.162305185205567,0.4327513492685283,0.40868090221192216,0.34583731390226125,0.28857762014340904,0.3475752012163027,0.35544576446773085,0.4074122354084572,0.8581294110152454,0.4940508584318496,0.27239651083380106,0.24431254602161961,0.10742293710142078,0.15853647876419238,0.8725087980392093,0.26792848990918033,0.09638570098055474,0.11908143790726786,0.39372451336531017,0.4229096396753155,0.8016084885464266,0.7402943672621585,0.24776501778386933,0.7075245874570443,0.3791961724806242,0.05668997342817796
rbo,0.01715864206695634,0.7520026508250841,0.31757118827186387,0.01819866470717933,0.030881132204473177,0.19741128630105936,0.04885873046241496,0.5251913743307858,0.47979550666797105,0.19782855341266584,0.32175915814266176,0.31656129631846736,0.3392888870707441,0.39338592425954333,0.750700600269713,0.47153791837688547,0.202223351721274,0.12719763472977869,0.09127852868274461,0.15531932387651248,0.8578097238994467,0.47726141195471045,0.11001353199814254,0.13780054300169936,0.5345982061404555,0.2283380190056536,0.36531363294225583,0.7102453737479137,0.27407044776301287,0.6006086632469059,0.3350069968799658,0.05476666275318401
weighted_rbo,0.018661625908676226,0.6311493768478023,0.5063871601031806,0.01819866470717933,0.031130620006727682,0.18821161988685858,0.05644857460065317,0.29156646507901884,0.36819894607530373,0.26983669705686053,0.13683604759706472,0.2633600957178975,0.22739334382163445,0.38894618889323107,0.780796467371966,0.4551653128361276,0.1911681715465043,0.16097722736805112,0.09197266942379459,0.1251934254989781,0.6836089040432991,0.3414644143190915,0.06981842292218068,0.13383320033663546,0.4262671530816265,0.17032238265494862,0.47535066415064564,0.6382969808732897,0.15661091526574292,0.6305143127726117,0.29758953502558605,0.04663326227102545
rbo_5,0.027533995514566832,0.9549034428975485,0.738037794972567,0.012702481780605781,0.03069367457605715,0.23719548659447232,0.08772002361591379,0.33036767293603614,0.6102076687058411,0.2691235735566647,0.1642479937985687,0.3884048161678552,0.28217467051675793,0.3899474334932448,0.7682883161625369,0.45380445019069715,0.30666575710497135,0.14982217381847482,0.10273660811923131,0.17390768770615356,0.8960545490312724,0.37774226779032316,0.092648079442505,0.1838675730756311,0.39280568594661686,0.44465692004890256,0.683093009405384,0.5585453422328595,0.19480956821040032,0.6124233874858234,0.3638377368299494,0.06665230854239837
