,mnist,mean,var
n,7603.0,7603.0,0.0
anomaly,700.0,700.0,0.0
rhf_ap,0.3705032905853781,0.3705032905853781,0.0
good_trees,16.0,16.0,0.0
best_tree,0.4427444031432182,0.4427444031432182,0.0
kendall,0.18018719332480398,0.18018719332480398,0.0
weighted_kendall,0.38413454779744766,0.38413454779744766,0.0
rbo,0.43519127070701696,0.43519127070701696,0.0
weighted_rbo,0.09916123618908719,0.09916123618908719,0.0
Spearmanr,0.18018719332480398,0.18018719332480398,0.0
kendall_weighted_kendall,0.3577095170577595,0.3577095170577595,0.0
kendall_rbo,0.41555667507232547,0.41555667507232547,0.0
kendall_weighted_rbo,0.1781846316380701,0.1781846316380701,0.0
kendall_Spearmanr,0.18018719332480398,0.18018719332480398,0.0
weighted_kendall_rbo,0.4406284337925146,0.4406284337925146,0.0
weighted_kendall_weighted_rbo,0.32607479667669176,0.32607479667669176,0.0
weighted_kendall_Spearmanr,0.3577095170577595,0.3577095170577595,0.0
rbo_weighted_rbo,0.37570598426627355,0.37570598426627355,0.0
rbo_Spearmanr,0.41555667507232547,0.41555667507232547,0.0
weighted_rbo_Spearmanr,0.1781846316380701,0.1781846316380701,0.0
best_tree_gap,-0.0722411125578401,-0.0722411125578401,0.0
kendall_gap,0.19031609726057414,0.19031609726057414,0.0
weighted_kendall_gap,-0.013631257212069536,-0.013631257212069536,0.0
rbo_gap,-0.06468798012163884,-0.06468798012163884,0.0
weighted_rbo_gap,0.27134205439629094,0.27134205439629094,0.0
Spearmanr_gap,0.19031609726057414,0.19031609726057414,0.0
kendall_weighted_kendall_gap,0.012793773527618624,0.012793773527618624,0.0
kendall_rbo_gap,-0.045053384486947345,-0.045053384486947345,0.0
kendall_weighted_rbo_gap,0.192318658947308,0.192318658947308,0.0
kendall_Spearmanr_gap,0.19031609726057414,0.19031609726057414,0.0
weighted_kendall_rbo_gap,-0.07012514320713648,-0.07012514320713648,0.0
weighted_kendall_weighted_rbo_gap,0.04442849390868636,0.04442849390868636,0.0
weighted_kendall_Spearmanr_gap,0.012793773527618624,0.012793773527618624,0.0
rbo_weighted_rbo_gap,-0.005202693680895432,-0.005202693680895432,0.0
rbo_Spearmanr_gap,-0.045053384486947345,-0.045053384486947345,0.0
weighted_rbo_Spearmanr_gap,0.192318658947308,0.192318658947308,0.0
best_tree_gap/%,-19.498102822164544,-19.498102822164544,0.0
kendall_gap/%,51.366911467880215,51.366911467880215,0.0
weighted_kendall_gap/%,-3.6791190681553134,-3.6791190681553134,0.0
rbo_gap/%,-17.459488691567305,-17.459488691567305,0.0
weighted_rbo_gap/%,73.23607139023866,73.23607139023866,0.0
Spearmanr_gap/%,51.366911467880215,51.366911467880215,0.0
kendall_weighted_kendall_gap/%,3.453079595434915,3.453079595434915,0.0
kendall_rbo_gap/%,-12.160049757119586,-12.160049757119586,0.0
kendall_weighted_rbo_gap/%,51.90740914701551,51.90740914701551,0.0
kendall_Spearmanr_gap/%,51.366911467880215,51.366911467880215,0.0
weighted_kendall_rbo_gap/%,-18.926996058885734,-18.926996058885734,0.0
weighted_kendall_weighted_rbo_gap/%,11.991389830436159,11.991389830436159,0.0
weighted_kendall_Spearmanr_gap/%,3.453079595434915,3.453079595434915,0.0
rbo_weighted_rbo_gap/%,-1.404223339737527,-1.404223339737527,0.0
rbo_Spearmanr_gap/%,-12.160049757119586,-12.160049757119586,0.0
weighted_rbo_Spearmanr_gap/%,51.90740914701551,51.90740914701551,0.0
