,abalone,aloi,annthyroid,arrhytmia,breastcancer,cardio,cover,http_all,http_logged,ionosphere,kdd99,kdd_finger,kdd_ftp,kdd_ftp_distinct,kdd_http,kdd_http_distinct,kdd_other,kdd_smtp,kdd_smtp_distinct,magicgamma,mammography,mnist,mulcross,musk,penglobal,pima_odds,satellite,satimages,shuttle_odds,smtp_all,spambase,thyroid,vertebral,vowels_odds,wbc,wikiqoe,wine,yeast,mean,var
n,1920.0,50000.0,7200.0,452.0,683.0,1831.0,286048.0,623091.0,567498.0,351.0,620098.0,1033.0,5214.0,2876.0,623091.0,222027.0,12844.0,96554.0,71257.0,19020.0,11183.0,7603.0,262144.0,3062.0,809.0,768.0,5100.0,5803.0,49097.0,96554.0,4601.0,3772.0,240.0,1456.0,378.0,55932.0,4898.0,1191.0,98096.81578947368,35524389951.72923
anomaly,29.0,1508.0,534.0,66.0,239.0,176.0,2747.0,4045.0,2211.0,126.0,1052.0,25.0,1393.0,282.0,4045.0,75.0,478.0,1183.0,25.0,6688.0,260.0,700.0,26214.0,97.0,90.0,268.0,75.0,71.0,3511.0,1183.0,1813.0,93.0,30.0,50.0,21.0,4494.0,25.0,55.0,1736.2368421052631,18626928.707063712
rhf_ap,0.42226503015325434,0.03370855446651542,0.3227620064444109,0.39918425609683444,0.9617895848524146,0.6464048019329954,0.0759952605550406,0.7463454594075498,0.9690488439132994,0.8182346364127386,0.7406853212317309,0.26036531762867104,0.5388793037848726,0.40801395734767026,0.5534771373846608,0.7704970135520484,0.4394970874421459,0.25140142005885474,0.08357905015994861,0.6237311246248283,0.14533161024205785,0.3705032905853781,0.6376292013195011,0.9995844404293763,0.6088724712108873,0.49359878949143765,0.6533323264329416,0.9090059508457623,0.9356207288608319,0.8095253285000299,0.4093765547895035,0.5382170525221258,0.09405051031551656,0.1681081074370118,0.579570426235162,0.12633155190115056,0.08661223061547638,0.23179799904860054,0.49639299311140084,0.08129647521516033
good_trees,18.0,76.0,95.0,0.0,0.0,0.0,198.0,89.0,258.0,1.0,42.0,146.0,297.0,125.0,7.0,38.0,267.0,89.0,61.0,1.0,229.0,16.0,208.0,2.0,2.0,38.0,0.0,0.0,29.0,27.0,219.0,33.0,1000.0,15.0,5.0,0.0,5.0,33.0,96.55263157894737,29876.299861495838
best_tree,0.518941655112242,0.03974840546414622,0.6884692747948177,0.39041136282733563,0.9332258929361521,0.625279240432333,0.723310330601885,0.9516825207723706,0.9903575608936089,0.8233903235072006,0.9105931391292282,0.6184597181886631,0.9588770913942943,0.8905306010549408,0.5716974973527701,0.849271304841303,0.9427819275263086,0.8277623329310713,0.6165082344325519,0.6243498486600512,0.4097399081793278,0.4427444031432183,0.997110930463448,1.0,0.6173089352943928,0.5463814043746524,0.5538703340852953,0.731778830669703,0.9656766825258639,0.9032392348922457,0.6260554347140495,0.6718472625069662,0.3218763013851933,0.2398242106686359,0.6526091262518146,0.1148689176731555,0.1307154509127882,0.3211038144970095,0.6511157748708168,0.06960451944377573
kendall,0.06812103887980353,0.03183888263787372,0.36479901710057633,0.25317754314308294,0.8044371142481038,0.36245665533933313,0.014232145202952063,0.05441597702378622,0.022588001265336458,0.6210904398695107,0.3182579343248406,0.3769559195914859,0.6272773040224214,0.39098804273905463,0.5441532135634536,0.6118845072417395,0.4216504029088521,0.012810846213584684,0.03242125674014197,0.5740665080493039,0.0836530528345918,0.18018719332480398,0.7082167513275411,0.409119475499748,0.39705571761371705,0.42537012682164677,0.20405861322338414,0.33710471122440167,0.9451901114899721,0.7730380790954859,0.4214122435888625,0.19130895358333186,0.1138099318981672,0.07027266764675086,0.22757073844030368,0.10574783254006477,0.006754834124881292,0.12436092969308232,0.3218909135283152,0.0633169558070065
weighted_kendall,0.3344931855584496,0.030690864595140983,0.221048549543367,0.21766002166243517,0.8713222391567956,0.5259195836117877,0.014232145202952063,0.783877618234059,0.6887761205817566,0.7385872286029554,0.2583726219559476,0.42776570109464596,0.5458082416532515,0.2777719260082583,0.5312611257188371,0.5553967633095074,0.6575327957628284,0.012878148939029098,0.03235153753121541,0.5121368797017004,0.0836530528345918,0.38413454779744766,0.3963273676467668,0.6397839622521246,0.34392104446025173,0.42537012682164677,0.20405861322338414,0.33710471122440167,0.9451901114899721,0.6547621594807305,0.39397403450027324,0.3926606491330341,0.11695188690692879,0.04633138453756195,0.3481423769864217,0.10781554162495405,0.05070273250421968,0.164199807578896,0.3756044055112771,0.06355134801843487
rbo,0.0242019631510304,0.03031174170111803,0.2855774853012908,0.16601817705895278,0.7907618810835066,0.3390348563540562,0.06626897918197347,0.10124211739056617,0.864277035579885,0.6344428168131568,0.34562762006769077,0.07501391255759098,0.2784327274239856,0.18488167232688205,0.5410167988021363,0.6866642908539644,0.6939979607292374,0.6787533243133481,0.040299431213266575,0.4521163402606409,0.06765505930217344,0.43519127070701696,0.13318831340625514,0.8820625173368619,0.5740727555715056,0.38766905418200615,0.4132513429702284,0.6603216240729919,0.5733848105121505,0.6186036223343324,0.5228215857939776,0.17934114504742132,0.19969070403280928,0.0750411376447973,0.19998783676944598,0.10919326079291856,0.006032515423990781,0.12305103908053142,0.353671071766992,0.06887244100787122
weighted_rbo,0.41806417033160503,0.03009396565120703,0.21988337654051232,0.3849975098647665,0.7508547219570165,0.21838906049573328,0.7018696358444878,0.00854349006112377,0.8685943775499229,0.5941170930566838,0.3189404779652448,0.184626076323432,0.4854748962404366,0.16300039409710756,0.5504110743417333,0.6866642908539644,0.6726727795380002,0.6787533243133481,0.040299431213266575,0.3746358643609922,0.04293830684076051,0.09916123618908719,0.318876373964831,0.250635596337131,0.372445923030012,0.4096882985771394,0.3258433394027437,0.34159075034225717,0.938434869407686,0.09598762889274277,0.3897893320564892,0.5507250453397192,0.1155,0.088810453579505,0.30478611979286085,0.10919326079291856,0.019331313638279474,0.11869891847462588,0.34850849413840457,0.06282509897698699
Spearmanr,0.22795945289578295,0.03183888263787372,0.36479901710057633,0.25317754314308294,0.9074811886485881,0.36245665533933313,0.013067563532846747,0.05441597702378622,0.022588001265336458,0.6210904398695107,0.3713052441261952,0.27106822647786627,0.6272773040224214,0.2777719260082583,0.5441532135634536,0.6118845072417395,0.22356822085118794,0.7377714534876938,0.03242125674014197,0.5740665080493039,0.1347783888161164,0.18018719332480398,0.4071897581314553,0.409119475499748,0.39705571761371705,0.42537012682164677,0.41287332200937493,0.3206744363627442,0.9451901114899721,0.7730380790954859,0.4214122435888625,0.19130895358333186,0.1138099318981672,0.07027266764675086,0.22757073844030368,0.10574783254006477,0.006754834124881292,0.12436092969308232,0.3367599295448813,0.06209443254653328
